05C10;Infirmier en soins généraux
2852;Masseur-kinésithérapeute cadre de santé, moniteur
2853;Ergothérapeute cadre de santé, moniteur
2854;Psychomotricien cadre de santé, moniteur
2855;Orthophoniste cadre de santé, moniteur
2856;Orthoptiste cadre de santé, moniteur
2857;Diététicien cadre de santé, moniteur
2861;Préparateur en pharmacie hospitalière cadre de santé, moniteur
2862;Technicien de laboratoire cadre de santé, moniteur
2863;Manipulateur d'électroradiologie médicale cadre de santé, moniteur
2911;Elève infirmier de / formation professionnelle
2921;Elève éducateur spécialisé
2922;Elève aide soignante / formation professionnelle
2925;Elève stagiaire éducateur spécialisé
2931;Elève moniteur éducateur
2940;Grade 2 ISGS  Infirmier de bloc opératoire
2941;Pédicure-podologue de classe normale (cadre d'extinction)
2942;Masseur-kinesithérapeute de classe normale (cadre d'extinction)
2943;Ergotherapeute de classe normale (cadre d'extinction)
2944;Psychomotricien de classe normale (cadre d'extinction)
2945;Orthophoniste de classe normale (cadre d'extinction)
2946;Orthoptiste de classe normale (cadre d'extinction)
2947;Dietéticien de classe normale
2948;Grade 3 ISGS  Infirmier de bloc opératoire
2949;Ergotherapeute de classe normale
2950;Grade 2 ISGS  Puéricultrice
2951;Pédicure-podologue de classe supérieure (cadre d'extinction)
2952;Masseur kinésithérapeute de classe supérieure (cadre d'extinction)
2953;Ergothérapeute de classe supérieure (cadre d'extinction)
2954;Psychomotricien de classe supérieure (cadre d'extinction)
2955;Orthophoniste de classe supérieure (cadre d'extinction)
2956;Orthoptiste de classe supérieure (cadre d'extinction)
2957;Dietéticien de classe supérieure
2958;Grade 3 ISGS  Puéricultrice
2959;Ergothérapeute de classe supérieure
2960;Grade 3 ISGS  Infirmier anesthésiste
2961;Infirmer anesthésiste Grade 1
2962;Infirmer anesthésiste Grade 2
2963;Pédicure-podologue de classe normale
2964;Orthoptiste de classe normale
2965;Grade 4 ISGS  Infirmier anesthésiste
2966;Masseur-kinesithérapeute de classe normale
2967;Orthophoniste de classe normale
2968;Psychomotricien de classe normale
2973;Pédicure-podologue de classe supérieure
2974;Orthoptiste de classe supérieure
2976;Masseur kinésithérapeute de classe supérieure
2977;Orthophoniste de classe supérieure
2978;Psychomotricien de classe supérieure
3001;Aide soignant de classe normale e4
3002;Aide soignant de classe supérieure e5
3003;Aide soignant de classe exceptionnelle e6
3005;Auxiliaire de puériculture de classe normale e4
3006;Auxiliaire de puériculture de classe supérieure e5
3007;Auxiliaire de puériculture de classe exceptionnelle e6
3008;Aide médico-psychologique de classe normale e4
3009;Aide médico-psychologique de classe supérieure e5
3010;Aide médico-psychologique de classe exceptionnelle e6
3021;Aide soignant
3022;Aide soignant principal
3025;Auxiliaire de puériculture
3026;Auxiliaire de puériculture principal
3028;Aides médico-psychologiques et accompagnants éducatifs et sociaux
3029;Aides médico-psychologiques et accompagnants éducatifs et sociaux principaux
3112;Aide préparateur en pharmacie e5 (cadre d'extinction)
3114;Aide technique de laboratoire e5 (cadre d'extinction)
3115;Aide technique d'électroradiologie e5 (cadre d'extinction)
3121;Aide soignant de classe normale e3
3122;Aide soignant de classe supérieure e4
3123;Aide soignant de classe exceptionnelle e5
3125;Auxiliaire de puériculture de classe normale e3
3126;Auxiliaire de puériculture de classe supérieure e4
3127;Auxiliaire de puériculture de classe exceptionnelle e5
3128;Aide médico-psychologique de classe normale e3
3129;Aide médico-psychologique de classe supérieure e4
3130;Aide médico-psychologique de classe exceptionnelle e5
3132;Aide de pharmacie de classe supérieure e4 (cadre d'extinction)
3133;Aide de laboratoire de classe supérieure e4 (cadre d'extinction)
3141;Aide de pharmacie de classe normale e3 (cadre d'extinction)
3143;Aide de laboratoire de classe normale e3 (cadre d'extinction)
3150;Aide de laboratoire de classe normale (cadre d'extinction)
3152;Aide de laboratoire de classe supérieure (cadre d'extinction)
3153;Aide de pharmacie de classe normale (cadre d'extinction)
3155;Aide de pharmacie de classe supérieure (cadre d'extinction)
3156;Aide d'électroradiologie de classe normale (cadre d'extinction)
3157;Aide d'électroradiologie de classe supérieure (cadre d'extinction)
3165;Aide d'électroradiologie de classe normale e3 (cadre d'extinction)
3166;Aide d'électroradiologie de classe supérieure e4 (cadre d'extinction)
3251;Agent des services hospitaliers qualifié ( r )
3256;Agent des services hospitaliers qualifié de classe normale
3257;Agent des services hospitaliers qualifié de classe supérieure
3258;Agent des services hospitaliers qualifié de classe supérieure
3259;Agent des services hospitaliers qualifié de classe normale
4103;Agent chef de 1ère catégorie
4104;Agent chef de classe exceptionnelle
4107;Agent chef de 2ème catégorie
4108;Agent chef de 1ère catégorie
4109;Agent chef de 2ème catégorie
4110;Agent de maîtrise
4112;Contremaître principal
4114;Agent de maîtrise principal
4115;Agent de maîtrise e5
4116;Agent de maîtrise principal e6
4122;Contremaître e5
4132;Agent technique d'entretien e5
4133;Agent technique d'entretien principal e6
4142;Chef de garage e5
4145;Chef de garage principal e6
4200;Agent d'entretien qualifié
4202;Maitre ouvrier e5
4203;Ouvrier principal de 2ème classe
4205;Ouvrier principal de 1ère classe
4207;Maitre ouvrier e5
4222;Maitre ouvrier principal e6
4223;Maitre ouvrier principal e6
4301;Ouvrier professionnel spécialisé
4302;Ouvrier professionnel qualifié
4304;Ouvrier professionnel qualifié e4
4306;Buandier spécialisé
4307;Buandier qualifié
4309;Buandier qualifié e4
4323;Conducteur ambulancier de 2ème catégorie e4
4324;Conducteur ambulancier de 1ère catégorie e5
4326;Conducteur d'automobile de 1ère catégorie e3
4327;Conducteur d'automobile hors catégorie e4
4328;Conducteur ambulancier hors catégorie e6
4330;Conducteur ambulancier
4340;Conducteur ambulancier principal
4342;Agent de service mortuaire et de désinfection de 2ème catégorie
4343;Agent de service mortuaire et de désinfection de 1ère catégorie
4348;Agent de service mortuaire et de désinfection de 1ère catégorie e4 (cadre d'extinction)
4433;Agent d'entretien qualifié
4437;Agent d'entretien qualifié e3
5171;Directeur de crih - circulaire 1986
5176;Responsable d'exploitation - circulaire 1986
5179;Spécialiste en organisation ou technicien en organisation - circ 1986
5182;Chef de projet - circulaire 1986
5183;Chef de projet en organisation - circulaire 1986
5185;Ingenieur en organisation - circulaire 1986
5272;Analyste - circulaire 1986
5274;Chef de salle - circulaire 1986
5276;Gestionnaire de réseau - circulaire 1986
5277;Technicien de maintenance ou imputeur de maintenance - circ 1986
5279;Ingénieur système - circulaire 1986
5315;Analyste programmeur - circulaire 1986
5326;Programmeur système - circulaire 1986
5327;Programmeur - circulaire 1986
5328;Pupitreur - circulaire 1986
5329;Préparateur de travaux - circulaire 1986
5372;Chef de centre informatique, hopitaux - de 1000 lits - circ1986
5580;Responsable en organisation chr - circulaire 1986
5610;Radiophysicien classe i
5620;Radiophysicien classe ii
5630;Radiophysicien chef d ' unité
5640;Radiophysicien
5710;Ingénieur subdivisionnaire
5715;Ingénieur hospitalier
5720;Ingénieur en chef
5725;Ingénieur hospitalier principal
5730;Ingénieur en chef de 1ère catégorie seconde classe
5735;Ingénieur hospitalier en chef de classe normale
5740;Ingénieur en chef de 1ère catégorie première classe
5745;Ingénieur hospitalier en chef de classe exceptionnelle
5750;Ingénieur en chef de 1ère catégorie hors classe
5760;Ingénieur général
5845;Technicien supérieur hospitalier
5846;Technicien hospitalier
5855;Technicien supérieur hospitalier principal
5856;Technicien supérieur hospitalier de 2ème classe
5865;Technicien supérieur hospitalier chef
5866;Technicien supérieur hospitalier de 1ère classe
5910;Dessinateur e4
5916;Dessinateur (cadre d'extinction)
5920;Dessinateur chef de groupe e5
5926;Dessinateur principal (cadre d'extinction)
5930;Dessinateur principal e6
6012;Psychologue de classe normale
6013;Psychologue hors classe
13Z0;Aumônier
42Z0;Buandier AEQ
42Z3;Buandier Principal de 2ème classe
42Z5;Buandier Principal de 1ère classe
43Z8;Agent de service mortuaire et de désinfection de 1ère catégorie (cadre d'extinction)
ADM1;Autres personnels administratifs
D100;Famille d'accueil
D200;Apprenti
D300;Contrat d'insertion rma
D301;Contrat emploi jeune
D310;Contrat d'accompagnement dans l'emploi (cae)
D320;Contrat d'avenir (cav)
D330;Contrat aidé départemental
D340;Contrat aidé expérimental
D350;Contrat unique d'insertion
D360;Contrat d'avenir
D400;Formateur occasionnel
D500;Assistante maternelle
D550;Travailleur handicapé c.a.t
D820;Contrat emploi solidarité (ces)
D821;Contrat emploi consolidé (cec)
D830;Contrat retour à l'emploi
D999;Autres contrats aidés
DIR1;Autres personnels de direction
E100;Etudiant en soins infirmiers
E201;Etudiant sage femme
E202;Etudiant sage femme Premier Cycle
E300;Elève manipulateur d'électroradiologie médicale
E301;Elève ergothérapeute
E302;Elève masseur kinésithérapeute
ECO1;Autres personnels des écoles
INF1;Autres personnels informaticiens
MED1;Autres personnels des services soignants
MED2;Autres personnels des services médico-techniques
OUV1;Autres personnels ouvriers
REE1;Autres personnels de rééducation
SAG1;Autres sages-femmes
SOC1;Autres personnels socio-éducatifs
TEC1;Autres personnels des services techniques
